practice_until_perfect.thisRepN,practice_until_perfect.thisTrialN,practice_until_perfect.thisN,practice_until_perfect.thisIndex,practice_letters_block.thisRepN,practice_letters_block.thisTrialN,practice_letters_block.thisN,practice_letters_block.thisIndex,letters_file,no_of_letters,practice_letters_loop.thisRepN,practice_letters_loop.thisTrialN,practice_letters_loop.thisN,practice_letters_loop.thisIndex,display_letter_jp.started,mouse.started,remind_text.started,prac_letter_S.started,prac_letter_P.started,prac_letter_K.started,prac_letter_F.started,prac_letter_T.started,prac_letter_Q.started,prac_letter_L.started,prac_letter_H.started,prac_letter_Y.started,prac_letter_R.started,prac_letter_N.started,prac_letter_J.started,blank_letter_BG.started,clear_letters_BG.started,next_practice_BG.started,blank_letter.started,display_letters_clicked.started,clear_letters.started,next_practice.started,display_letter_jp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yt local,001,2022-12-21_12h32.46.676,reading_span,2022.2.4,60.024405927607134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yt local,001,2022-12-21_12h32.46.676,reading_span,2022.2.4,60.024405927607134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yt local,001,2022-12-21_12h32.46.676,reading_span,2022.2.4,60.024405927607134,
,,,,,,,,,,,,,,33.731628599984106,0.013354699971387163,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,34.94636669999454,33.731628599984106,,,,,,,
