intro_resp.keys,intro_resp.rt,date,expName,psychopyVersion,OS,frameRate,participant,sent_resp.x,sent_resp.y,sent_resp.leftButton,sent_resp.midButton,sent_resp.rightButton,sent_resp.time,answer_click.x,answer_click.y,answer_click.leftButton,answer_click.midButton,answer_click.rightButton,answer_click.time,answer_click.clicked_name,sentence_practice_loop.thisRepN,sentence_practice_loop.thisTrialN,sentence_practice_loop.thisN,sentence_practice_loop.thisIndex,sentence_practice_loop.ran,sentence,answer,avg_read_duration,sentence_answer,sentence_response,sentences_letters_set.thisRepN,sentences_letters_set.thisTrialN,sentences_letters_set.thisN,sentences_letters_set.thisIndex,sentences_letters_set.ran,mouse_jp.x,mouse_jp.y,mouse_jp.leftButton,mouse_jp.midButton,mouse_jp.rightButton,mouse_jp.time,mouse_jp.clicked_name,letter_answers,letter_responses,curr_set_rspan_pcu,small_loop.thisRepN,small_loop.thisTrialN,small_loop.thisN,small_loop.thisIndex,small_loop.ran,rspan_score,total_correct_letters,sent_speed_error,sent_acc_error,sent_total_error,total_number_of_sentences,sent_percent_correct,rspan_pcu,exit_key.keys,exit_key.rt
space,9.5835,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,0.119444444,-0.214583333,1,0,0,8.8744,[],[],[],[],[],[],[],0,0,0,0,1,Andy was stopped by the policeman because he crossed the yellow heaven.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,0.197916667,-0.214583333,1,0,0,5.5199,[],[],[],[],[],[],[],0,1,1,5,1,"Since it was the last game, it was hard to cope with the loss.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,0.209722222,-0.217361111,1,0,0,5.2449,[],[],[],[],[],[],[],0,2,2,2,1,The prosecutor's dish was lost because it was not based on fact.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,0.219444444,-0.2375,1,0,0,2.9902,[],[],[],[],[],[],[],0,3,3,4,1,"After final exams are over, we'll be able to take a well-deserved rest.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,0.102083333,-0.285416667,1,0,0,2.1571,[],[],[],[],[],[],[],0,4,4,3,1,"During the week of final spaghetti, I felt like I was losing my mind.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,0.104861111,-0.271527778,1,0,0,2.0914,[],[],[],[],[],[],[],0,5,5,1,1,During winter you can get a room at the beach for a very low rate.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,Andy was stopped by the policeman because he crossed the yellow heaven.,,4.481166667,FALSE,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,"After final exams are over, we'll be able to take a well-deserved rest.",,,TRUE,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.30625,0.2923611111111111,0.5020833333333333]","[0.24444444444444444,0.007638888888888889,-0.41041666666666665]","[1,1,1]","[0,0,0]","[0,0,0]","[1.7508999999998878,4.169499999999999,5.008199999999931]","[""letter_F"",""letter_R"",""next_practice""]","[""F"",""R""]","[""F"",""R""]",1,0,0,0,0,1,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,The prosecutor's dish was lost because it was not based on fact.,,,FALSE,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-06-29_14h41.08.211,reading_span,2022.2.5,Win32,59.15409642,091,,,,,,,,,,,,,,,,,,,"During the week of final spaghetti, I felt like I was losing my mind.",,,FALSE,FALSE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
