intro_resp.keys,intro_resp.rt,date,expName,psychopyVersion,OS,frameRate,participant
space,18.1548,2023-05-15_11h47.53.097,reading_span,2022.2.5,Win32,59.87306909,36
,,2023-05-15_11h47.53.097,reading_span,2022.2.5,Win32,59.87306909,36
,,2023-05-15_11h47.53.097,reading_span,2022.2.5,Win32,59.87306909,36
