intro_resp.keys,intro_resp.rt,date,expName,psychopyVersion,OS,frameRate,participant,sent_resp.x,sent_resp.y,sent_resp.leftButton,sent_resp.midButton,sent_resp.rightButton,sent_resp.time,answer_click.x,answer_click.y,answer_click.leftButton,answer_click.midButton,answer_click.rightButton,answer_click.time,answer_click.clicked_name,sentence_practice_loop.thisRepN,sentence_practice_loop.thisTrialN,sentence_practice_loop.thisN,sentence_practice_loop.thisIndex,sentence_practice_loop.ran,sentence,answer,avg_read_duration,sentence_answer,sentence_response,sentences_letters_set.thisRepN,sentences_letters_set.thisTrialN,sentences_letters_set.thisN,sentences_letters_set.thisIndex,sentences_letters_set.ran,mouse_jp.x,mouse_jp.y,mouse_jp.leftButton,mouse_jp.midButton,mouse_jp.rightButton,mouse_jp.time,mouse_jp.clicked_name,letter_answers,letter_responses,curr_set_rspan_pcu,small_loop.thisRepN,small_loop.thisTrialN,small_loop.thisN,small_loop.thisIndex,small_loop.ran,rspan_score,total_correct_letters,sent_speed_error,sent_acc_error,sent_total_error,total_number_of_sentences,sent_percent_correct,rspan_pcu,exit_key.keys,exit_key.rt
space,11.6159,03-13-2023_22h04.48.226,reading_span,2022.2.5,MacIntel,60.0024001,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03-13-2023_22h04.48.226,reading_span,2022.2.5,MacIntel,60.0024001,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03-13-2023_22h04.48.226,reading_span,2022.2.5,MacIntel,60.0024001,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03-13-2023_22h04.48.226,reading_span,2022.2.5,MacIntel,60.0024001,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03-13-2023_22h04.48.226,reading_span,2022.2.5,MacIntel,60.0024001,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03-13-2023_22h04.48.226,reading_span,2022.2.5,MacIntel,60.0024001,116,0.327232883,-0.274854314,1,0,0,12.3192,[],[],[],[],[],[],[],0,0,0,0,1,Andy was stopped by the policeman because he crossed the yellow heaven.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03-13-2023_22h04.48.226,reading_span,2022.2.5,MacIntel,60.0024001,116,0.153499365,-0.29006096,1,0,0,19.2307,[],[],[],[],[],[],[],0,1,1,1,1,During winter you can get a room at the beach for a very low rate.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03-13-2023_22h04.48.226,reading_span,2022.2.5,MacIntel,60.0024001,116,-0.19176738,-0.228318909,1,0,0,11.8383,[],[],[],[],[],[],[],0,2,2,2,1,The prosecutor's dish was lost because it was not based on fact.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03-13-2023_22h04.48.226,reading_span,2022.2.5,MacIntel,60.0024001,116,0.560519533,-0.181687203,1,0,0,6.3042,[],[],[],[],[],[],[],0,3,3,3,1,"During the week of final spaghetti, I felt like I was losing my mind.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03-13-2023_22h04.48.226,reading_span,2022.2.5,MacIntel,60.0024001,116,0.502555734,-0.201971684,1,0,0,13.3721,[],[],[],[],[],[],[],0,4,4,4,1,"After final exams are over, we'll be able to take a well-deserved rest.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
