intro_resp.keys,intro_resp.rt,date,expName,psychopyVersion,OS,frameRate,participant,session2,sent_resp.x,sent_resp.y,sent_resp.leftButton,sent_resp.midButton,sent_resp.rightButton,sent_resp.time,answer_click.x,answer_click.y,answer_click.leftButton,answer_click.midButton,answer_click.rightButton,answer_click.time,answer_click.clicked_name,sentence_practice_loop.thisRepN,sentence_practice_loop.thisTrialN,sentence_practice_loop.thisN,sentence_practice_loop.thisIndex,sentence_practice_loop.ran,sentence,answer,avg_read_duration,sentence_answer,sentence_response,sentences_letters_set.thisRepN,sentences_letters_set.thisTrialN,sentences_letters_set.thisN,sentences_letters_set.thisIndex,sentences_letters_set.ran,mouse_jp.x,mouse_jp.y,mouse_jp.leftButton,mouse_jp.midButton,mouse_jp.rightButton,mouse_jp.time,mouse_jp.clicked_name,letter_answers,letter_responses,curr_set_rspan_pcu,small_loop.thisRepN,small_loop.thisTrialN,small_loop.thisN,small_loop.thisIndex,small_loop.ran,rspan_score,total_correct_letters,sent_speed_error,sent_acc_error,sent_total_error,total_number_of_sentences,sent_percent_correct,rspan_pcu,exit_key.keys,exit_key.rt
space,26.5446,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,0.205555556,-0.089814815,1,0,0,4.2395,[],[],[],[],[],[],[],0,0,0,4,1,"After final exams are over, we'll be able to take a well-deserved rest.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,-0.210185185,-0.125,1,0,0,3.2211,[],[],[],[],[],[],[],0,1,1,5,1,"Since it was the last game, it was hard to cope with the loss.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,-0.348148148,-0.17037037,1,0,0,3.2422,[],[],[],[],[],[],[],0,2,2,2,1,The prosecutor's dish was lost because it was not based on fact.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,0.228703704,-0.176851852,1,0,0,2.5586,[],[],[],[],[],[],[],0,3,3,0,1,Andy was stopped by the policeman because he crossed the yellow heaven.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,0.178703704,-0.176851852,1,0,0,1.7089,[],[],[],[],[],[],[],0,4,4,3,1,"During the week of final spaghetti, I felt like I was losing my mind.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,0.237037037,-0.175925926,1,0,0,2.3592,[],[],[],[],[],[],[],0,5,5,1,1,During winter you can get a room at the beach for a very low rate.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,The prosecutor's dish was lost because it was not based on fact.,,2.88965,FALSE,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,Andy was stopped by the policeman because he crossed the yellow heaven.,,,FALSE,FALSE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.30462962962962964,0.30648148148148147,0.5018518518518519]","[-0.10648148148148148,0.2611111111111111,-0.40925925925925927]","[1,1,1]","[0,0,0]","[0,0,0]","[1.9991999999999166,2.727300000000014,3.9761000000000877]","[""letter_Y"",""letter_J"",""next_practice""]","[""Y"",""J""]","[""Y"",""J""]",1,0,0,0,0,1,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,"After final exams are over, we'll be able to take a well-deserved rest.",,,TRUE,TRUE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,During winter you can get a room at the beach for a very low rate.,,,TRUE,TRUE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.006481481481481481,-0.001851851851851852,0.5194444444444445]","[0.012037037037037037,0.13703703703703704,-0.4166666666666667]","[1,1,1]","[0,0,0]","[0,0,0]","[1.527099999999848,3.626399999999876,4.9424999999999955]","[""letter_Q"",""letter_L"",""next_practice""]","[""Q"",""L""]","[""Q"",""L""]",1,1,0,1,0,1,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,"During the week of final spaghetti, I felt like I was losing my mind.",,,FALSE,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,"Since it was the last game, it was hard to cope with the loss.",,,TRUE,TRUE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.3101851851851852,0.30833333333333335,0.5111111111111111]","[-0.13425925925925927,0.009259259259259259,-0.39166666666666666]","[1,1,1]","[0,0,0]","[0,0,0]","[1.0096000000000913,2.643100000000061,3.7262000000001763]","[""letter_S"",""letter_R"",""next_practice""]","[""S"",""R""]","[""S"",""R""]",1,2,0,2,0,1,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,With intense determination he overcame all obstacles and won the race.,,,TRUE,TRUE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,"After being ill, Suzy hoped to catch up on her work over the weekend.",,,TRUE,TRUE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,Jason broke his arm when he fell from the tree onto the ground.,,,TRUE,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,Nick's hockey team won their final game this past weekend at the shoes.,,,FALSE,TRUE,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h11.45.607,reading_span,2022.2.5,Win32,59.93407252,071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.014814814814814815,-0.30277777777777776,-0.006481481481481481,-0.29907407407407405,0.4666666666666667]","[-0.2518518518518518,-0.1259259259259259,-0.25092592592592594,0.13055555555555556,-0.4046296296296296]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.8935000000000173,2.7093999999999028,4.3659999999999854,5.599699999999984,7.549300000000073]","[""blank_letter"",""letter_S"",""blank_letter"",""letter_K"",""next_practice""]","[""P"",""S"",""L"",""K""]","[""_"",""S"",""_"",""K""]",0.5,0,0,0,0,1,,,,,,,,,,
