intro_resp.keys,intro_resp.rt,date,expName,psychopyVersion,OS,frameRate,participant,session2,sent_resp.x,sent_resp.y,sent_resp.leftButton,sent_resp.midButton,sent_resp.rightButton,sent_resp.time,answer_click.x,answer_click.y,answer_click.leftButton,answer_click.midButton,answer_click.rightButton,answer_click.time,answer_click.clicked_name,sentence_practice_loop.thisRepN,sentence_practice_loop.thisTrialN,sentence_practice_loop.thisN,sentence_practice_loop.thisIndex,sentence_practice_loop.ran,sentence,answer,avg_read_duration,sentence_answer,sentence_response,sentences_letters_set.thisRepN,sentences_letters_set.thisTrialN,sentences_letters_set.thisN,sentences_letters_set.thisIndex,sentences_letters_set.ran,mouse_jp.x,mouse_jp.y,mouse_jp.leftButton,mouse_jp.midButton,mouse_jp.rightButton,mouse_jp.time,mouse_jp.clicked_name,letter_answers,letter_responses,curr_set_rspan_pcu,small_loop.thisRepN,small_loop.thisTrialN,small_loop.thisN,small_loop.thisIndex,small_loop.ran,rspan_score,total_correct_letters,sent_speed_error,sent_acc_error,sent_total_error,total_number_of_sentences,sent_percent_correct,rspan_pcu,exit_key.keys,exit_key.rt
space,12.9752,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,0.299074074,-0.314814815,1,0,0,4.7696,[],[],[],[],[],[],[],0,0,0,0,1,Andy was stopped by the policeman because he crossed the yellow heaven.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,0.222222222,-0.187037037,1,0,0,2.9079,[],[],[],[],[],[],[],0,1,1,2,1,The prosecutor's dish was lost because it was not based on fact.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,-0.038888889,-0.182407407,1,0,0,2.3159,[],[],[],[],[],[],[],0,2,2,4,1,"After final exams are over, we'll be able to take a well-deserved rest.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,0.05,-0.212962963,1,0,0,3.0085,[],[],[],[],[],[],[],0,3,3,1,1,During winter you can get a room at the beach for a very low rate.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,0.214814815,-0.218518519,1,0,0,1.7204,[],[],[],[],[],[],[],0,4,4,3,1,"During the week of final spaghetti, I felt like I was losing my mind.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,0.068518519,-0.193518519,1,0,0,2.7247,[],[],[],[],[],[],[],0,5,5,5,1,"Since it was the last game, it was hard to cope with the loss.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,Andy was stopped by the policeman because he crossed the yellow heaven.,,2.9092,FALSE,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,During winter you can get a room at the beach for a very low rate.,,,TRUE,FALSE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.2916666666666667,0.30277777777777776,0.475]","[-0.10833333333333334,0.2675925925925926,-0.39537037037037037]","[1,1,1]","[0,0,0]","[0,0,0]","[3.699800000000039,4.332600000000099,5.065600000000103]","[""letter_Y"",""letter_J"",""next_practice""]","[""Y"",""J""]","[""Y"",""J""]",1,0,0,0,0,1,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,"Since it was the last game, it was hard to cope with the loss.",,,TRUE,TRUE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,"After final exams are over, we'll be able to take a well-deserved rest.",,,TRUE,TRUE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.30833333333333335,-0.000925925925925926,0.5175925925925926]","[0.003703703703703704,-0.11574074074074074,-0.3787037037037037]","[1,1,1]","[0,0,0]","[0,0,0]","[1.9184000000001333,2.59050000000002,3.190400000000153]","[""letter_R"",""letter_T"",""next_practice""]","[""R"",""T""]","[""R"",""T""]",1,1,0,1,0,1,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,The prosecutor's dish was lost because it was not based on fact.,,,FALSE,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,"During the week of final spaghetti, I felt like I was losing my mind.",,,FALSE,FALSE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.30648148148148147,0.287962962962963,0.4888888888888889]","[0.12314814814814815,0.13240740740740742,-0.40185185185185185]","[1,1,1]","[0,0,0]","[0,0,0]","[1.5334000000001424,2.083400000000154,2.7824000000001377]","[""letter_K"",""letter_N"",""next_practice""]","[""K"",""N""]","[""K"",""N""]",1,2,0,2,0,1,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,"At church yesterday morning, Jim's daughter made a terrible plum.",,,FALSE,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,Harry plans to play a lot of golf when he retires from his job.,,,TRUE,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,John wants to be a football player when he gets older.,,,TRUE,TRUE,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,"Martha went to the concert, but ate to bring a thick sweater.",,,FALSE,FALSE,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,Jason broke his arm when he fell from the tree onto the ground.,,,TRUE,TRUE,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.2962962962962963,0.2972222222222222,-0.3037037037037037,0.29259259259259257,-0.005555555555555556,0.47314814814814815]","[-0.11018518518518519,0.24351851851851852,0.012037037037037037,0.12777777777777777,0.012962962962962963,-0.38425925925925924]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.2498000000000502,2.3986999999999625,3.0846000000001084,3.7853000000000634,4.418999999999983,5.200600000000122]","[""letter_S"",""letter_J"",""letter_P"",""letter_N"",""letter_Q"",""next_practice""]","[""S"",""J"",""P"",""N"",""Q""]","[""S"",""J"",""P"",""N"",""Q""]",1,0,0,0,0,1,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,"When it is cold, my mother always makes me wear a cap on my head.",,,TRUE,TRUE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,Catherine dressed up as a scary witch for the Halloween pencil on Friday.,,,FALSE,FALSE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-19_12h47.30.497,reading_span,2022.2.5,Win32,59.9268892,48,1,,,,,,,,,,,,,,,,,,,We like to eat eggs and bacon for breakfast in the morning.,,,TRUE,FALSE,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
