intro_resp.keys,intro_resp.rt,date,expName,psychopyVersion,OS,frameRate,participant,sent_resp.x,sent_resp.y,sent_resp.leftButton,sent_resp.midButton,sent_resp.rightButton,sent_resp.time,answer_click.x,answer_click.y,answer_click.leftButton,answer_click.midButton,answer_click.rightButton,answer_click.time,answer_click.clicked_name,sentence_practice_loop.thisRepN,sentence_practice_loop.thisTrialN,sentence_practice_loop.thisN,sentence_practice_loop.thisIndex,sentence_practice_loop.ran,sentence,answer,avg_read_duration,sentence_answer,sentence_response,sentences_letters_set.thisRepN,sentences_letters_set.thisTrialN,sentences_letters_set.thisN,sentences_letters_set.thisIndex,sentences_letters_set.ran,mouse_jp.x,mouse_jp.y,mouse_jp.leftButton,mouse_jp.midButton,mouse_jp.rightButton,mouse_jp.time,mouse_jp.clicked_name,letter_answers,letter_responses,curr_set_rspan_pcu,small_loop.thisRepN,small_loop.thisTrialN,small_loop.thisN,small_loop.thisIndex,small_loop.ran,rspan_score,total_correct_letters,sent_speed_error,sent_acc_error,sent_total_error,total_number_of_sentences,sent_percent_correct,rspan_pcu,exit_key.keys,exit_key.rt
space,12.9426,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,0.387962963,-0.039814815,1,0,0,4.445,[],[],[],[],[],[],[],0,0,0,5,1,"Since it was the last game, it was hard to cope with the loss.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,0.423148148,-0.100925926,1,0,0,4.7585,[],[],[],[],[],[],[],0,1,1,0,1,Andy was stopped by the policeman because he crossed the yellow heaven.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,0.337037037,-0.067592593,1,0,0,6.742,[],[],[],[],[],[],[],0,2,2,2,1,The prosecutor's dish was lost because it was not based on fact.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,0.233333333,-0.093518519,1,0,0,2.842,[],[],[],[],[],[],[],0,3,3,3,1,"During the week of final spaghetti, I felt like I was losing my mind.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,0.318518519,-0.105555556,1,0,0,2.109,[],[],[],[],[],[],[],0,4,4,1,1,During winter you can get a room at the beach for a very low rate.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,0.437962963,-0.084259259,1,0,0,2.5087,[],[],[],[],[],[],[],0,5,5,4,1,"After final exams are over, we'll be able to take a well-deserved rest.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,The prosecutor's dish was lost because it was not based on fact.,,3.90295,FALSE,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,Andy was stopped by the policeman because he crossed the yellow heaven.,,,FALSE,FALSE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.3074074074074074,0.29074074074074074,0.46111111111111114]","[-0.11018518518518519,0.011111111111111112,-0.4083333333333333]","[1,1,1]","[0,0,0]","[0,0,0]","[1.433099999999655,3.4165000000000134,4.132400000000388]","[""letter_S"",""letter_R"",""next_practice""]","[""S"",""R""]","[""S"",""R""]",1,0,0,0,0,1,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,"During the week of final spaghetti, I felt like I was losing my mind.",,,FALSE,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-30_13h36.05.176,reading_span,2022.2.5,Win32,59.9880024,075,,,,,,,,,,,,,,,,,,,"After final exams are over, we'll be able to take a well-deserved rest.",,,TRUE,TRUE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
