intro_resp.keys,intro_resp.rt,date,expName,psychopyVersion,OS,frameRate,participant,session2,sent_resp.x,sent_resp.y,sent_resp.leftButton,sent_resp.midButton,sent_resp.rightButton,sent_resp.time,answer_click.x,answer_click.y,answer_click.leftButton,answer_click.midButton,answer_click.rightButton,answer_click.time,answer_click.clicked_name,sentence_practice_loop.thisRepN,sentence_practice_loop.thisTrialN,sentence_practice_loop.thisN,sentence_practice_loop.thisIndex,sentence_practice_loop.ran,sentence,answer,avg_read_duration,sentence_answer,sentence_response,sentences_letters_set.thisRepN,sentences_letters_set.thisTrialN,sentences_letters_set.thisN,sentences_letters_set.thisIndex,sentences_letters_set.ran,mouse_jp.x,mouse_jp.y,mouse_jp.leftButton,mouse_jp.midButton,mouse_jp.rightButton,mouse_jp.time,mouse_jp.clicked_name,letter_answers,letter_responses,curr_set_rspan_pcu,small_loop.thisRepN,small_loop.thisTrialN,small_loop.thisN,small_loop.thisIndex,small_loop.ran,rspan_score,total_correct_letters,sent_speed_error,sent_acc_error,sent_total_error,total_number_of_sentences,sent_percent_correct,rspan_pcu,exit_key.keys,exit_key.rt
space,12.0261,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,0.17037037,-0.263888889,0,0,1,2.5192,[],[],[],[],[],[],[],0,0,0,0,1,Andy was stopped by the policeman because he crossed the yellow heaven.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,-0.019444444,-0.253703704,1,0,0,2.3818,[],[],[],[],[],[],[],0,1,1,1,1,During winter you can get a room at the beach for a very low rate.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,0.101851852,-0.113888889,1,0,0,1.686,[],[],[],[],[],[],[],0,2,2,4,1,"After final exams are over, we'll be able to take a well-deserved rest.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,-0.190740741,-0.167592593,1,0,0,1.8305,[],[],[],[],[],[],[],0,3,3,5,1,"Since it was the last game, it was hard to cope with the loss.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,-0.22037037,-0.189814815,1,0,0,2.0684,[],[],[],[],[],[],[],0,4,4,2,1,The prosecutor's dish was lost because it was not based on fact.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,-0.115740741,-0.150925926,1,0,0,1.5453,[],[],[],[],[],[],[],0,5,5,3,1,"During the week of final spaghetti, I felt like I was losing my mind.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,"During the week of final spaghetti, I felt like I was losing my mind.",,2.007783333,FALSE,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,The prosecutor's dish was lost because it was not based on fact.,,,FALSE,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.287962962962963,-0.31666666666666665,0.49722222222222223]","[0.11666666666666667,-0.000925925925925926,-0.3925925925925926]","[1,1,1]","[0,0,0]","[0,0,0]","[2.5389999999999873,4.256699999999938,4.904399999999896]","[""letter_N"",""letter_P"",""next_practice""]","[""N"",""L""]","[""N"",""P""]",0.5,0,0,0,0,1,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,During winter you can get a room at the beach for a very low rate.,,,TRUE,TRUE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-02_12h42.51.039,reading_span,2022.2.5,Win32,60.60238773,29,1,,,,,,,,,,,,,,,,,,,"Since it was the last game, it was hard to cope with the loss.",,,TRUE,TRUE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
