intro_resp.keys,intro_resp.rt,date,expName,psychopyVersion,OS,frameRate,participant,sent_resp.x,sent_resp.y,sent_resp.leftButton,sent_resp.midButton,sent_resp.rightButton,sent_resp.time,answer_click.x,answer_click.y,answer_click.leftButton,answer_click.midButton,answer_click.rightButton,answer_click.time,answer_click.clicked_name,sentence_practice_loop.thisRepN,sentence_practice_loop.thisTrialN,sentence_practice_loop.thisN,sentence_practice_loop.thisIndex,sentence_practice_loop.ran,sentence,answer,avg_read_duration,sentence_answer,sentence_response,sentences_letters_set.thisRepN,sentences_letters_set.thisTrialN,sentences_letters_set.thisN,sentences_letters_set.thisIndex,sentences_letters_set.ran,mouse_jp.x,mouse_jp.y,mouse_jp.leftButton,mouse_jp.midButton,mouse_jp.rightButton,mouse_jp.time,mouse_jp.clicked_name,letter_answers,letter_responses,curr_set_rspan_pcu,small_loop.thisRepN,small_loop.thisTrialN,small_loop.thisN,small_loop.thisIndex,small_loop.ran,rspan_score,total_correct_letters,sent_speed_error,sent_acc_error,sent_total_error,total_number_of_sentences,sent_percent_correct,rspan_pcu,exit_key.keys,exit_key.rt
space,8.7335,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,0.27037037,-0.280555556,1,0,0,7.5492,[],[],[],[],[],[],[],0,0,0,5,1,"Since it was the last game, it was hard to cope with the loss.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,-0.225925926,-0.217592593,0,0,1,1.9138,[],[],[],[],[],[],[],0,1,1,3,1,"During the week of final spaghetti, I felt like I was losing my mind.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,0.306481481,-0.244444444,1,0,0,1.6145,[],[],[],[],[],[],[],0,2,2,4,1,"After final exams are over, we'll be able to take a well-deserved rest.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,-0.060185185,-0.209259259,1,0,0,2.0328,[],[],[],[],[],[],[],0,3,3,2,1,The prosecutor's dish was lost because it was not based on fact.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,0.122222222,-0.22962963,1,0,0,1.5064,[],[],[],[],[],[],[],0,4,4,1,1,During winter you can get a room at the beach for a very low rate.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,0.119444444,-0.211111111,1,0,0,2.9575,[],[],[],[],[],[],[],0,5,5,0,1,Andy was stopped by the policeman because he crossed the yellow heaven.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,Andy was stopped by the policeman because he crossed the yellow heaven.,,2.931433333,FALSE,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,The prosecutor's dish was lost because it was not based on fact.,,,FALSE,TRUE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.2972222222222222,0.003703703703703704,0.5111111111111111]","[0.01574074074074074,0.25277777777777777,-0.3851851851851852]","[1,1,1]","[0,0,0]","[0,0,0]","[1.8760999999999797,4.310300000000041,6.326599999999985]","[""letter_R"",""letter_H"",""next_practice""]","[""R"",""H""]","[""R"",""H""]",1,0,0,0,0,1,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,"Since it was the last game, it was hard to cope with the loss.",,,TRUE,TRUE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,"During the week of final spaghetti, I felt like I was losing my mind.",,,FALSE,FALSE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.29814814814814816,0.3,0.5037037037037037]","[0.26851851851851855,-0.1,-0.40925925925925927]","[1,1,1]","[0,0,0]","[0,0,0]","[2.7498999999999114,3.833299999999923,4.499299999999948]","[""letter_F"",""letter_Y"",""next_practice""]","[""F"",""Y""]","[""F"",""Y""]",1,1,0,1,0,1,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,During winter you can get a room at the beach for a very low rate.,,,TRUE,TRUE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,"After final exams are over, we'll be able to take a well-deserved rest.",,,TRUE,TRUE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.3055555555555556,-0.009259259259259259,0.46296296296296297]","[0.26481481481481484,0.12777777777777777,-0.40925925925925927]","[1,1,1]","[0,0,0]","[0,0,0]","[1.4008999999998935,3.2164999999999964,3.8833999999999094]","[""letter_F"",""letter_L"",""next_practice""]","[""F"",""L""]","[""F"",""L""]",1,2,0,2,0,1,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,The college students went to New York in March and it snowed.,,,TRUE,TRUE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,We like to eat eggs and bacon for breakfast in the morning.,,,TRUE,TRUE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,"Jill wanted a garden in her backyard, but the soil was mostly clay.",,,TRUE,TRUE,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,John wants to be a football player when he gets older.,,,TRUE,TRUE,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.30833333333333335,0.30648148148148147,-0.3074074074074074,0.287962962962963,0.4787037037037037]","[-0.09814814814814815,-0.1,0.12962962962962962,0.2388888888888889,-0.38425925925925924]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.4165999999998462,2.0166999999999575,4.1998999999999,5.033899999999903,5.698999999999984]","[""letter_Y"",""letter_Y"",""letter_K"",""letter_J"",""next_practice""]","[""Y"",""Y"",""K"",""J""]","[""Y"",""Y"",""K"",""J""]",1,0,0,0,0,1,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,The printer sprinted when he tried to print out his report last night.,,,FALSE,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,He wrecked his car because he was going too fast in the rain.,,,TRUE,TRUE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,"When it is cold, my mother always makes me wear a cap on my head.",,,TRUE,TRUE,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,The sugar could not believe he was being offered such a great deal.,,,FALSE,FALSE,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,The boys knew they would have to hurry to make it to the apple on time.,,,FALSE,FALSE,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.2953703703703704,-0.2962962962962963,0.29907407407407405,0.31203703703703706,0.3101851851851852,0.5314814814814814]","[0.003703703703703704,0.13703703703703704,-0.10925925925925926,0.008333333333333333,0.008333333333333333,-0.4111111111111111]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[2.3161999999999523,4.165999999999997,6.6997999999998115,8.53279999999981,8.93379999999982,9.615899999999897]","[""letter_P"",""letter_K"",""letter_Y"",""letter_R"",""letter_R"",""next_practice""]","[""P"",""K"",""Y"",""R"",""R""]","[""P"",""K"",""Y"",""R"",""R""]",1,1,0,1,0,1,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,"The prom was only three days away, but neither girl had a dress yet.",,,TRUE,TRUE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,Carol will ask her sneaker how much the flight to Mexico will cost.,,,FALSE,FALSE,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,The judge gave the boy community sweat for stealing the candy bar.,,,FALSE,FALSE,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,The couple decided that they wanted to have a picnic in the park.,,,TRUE,TRUE,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,Stacey stopped dating the light when she found out he had a wife.,,,FALSE,FALSE,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,With intense determination he overcame all obstacles and won the race.,,,TRUE,TRUE,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_11h38.36.930,reading_span,2022.2.5,Win32,60.1612321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.3055555555555556,0.29444444444444445,0.2898148148148148,-0.3055555555555556,-0.2833333333333333,0.2935185185185185,0.4759259259259259]","[0.12962962962962962,0.2574074074074074,0.014814814814814815,0.25555555555555554,0.008333333333333333,0,-0.38425925925925924]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[3.7834000000001424,6.016300000000001,7.666699999999935,9.833600000000047,11.466400000000135,14.283400000000142,14.949800000000039]","[""letter_K"",""letter_J"",""letter_R"",""letter_F"",""letter_P"",""letter_R"",""next_practice""]","[""H"",""F"",""R"",""P"",""S"",""J""]","[""K"",""J"",""R"",""F"",""P"",""R""]",0.166666667,2,0,2,0,1,,,,,,,,,,
