intro_resp.keys,intro_resp.rt,date,expName,psychopyVersion,OS,frameRate,participant,session2,sent_resp.x,sent_resp.y,sent_resp.leftButton,sent_resp.midButton,sent_resp.rightButton,sent_resp.time,answer_click.x,answer_click.y,answer_click.leftButton,answer_click.midButton,answer_click.rightButton,answer_click.time,answer_click.clicked_name,sentence_practice_loop.thisRepN,sentence_practice_loop.thisTrialN,sentence_practice_loop.thisN,sentence_practice_loop.thisIndex,sentence_practice_loop.ran,sentence,answer,avg_read_duration,sentence_answer,sentence_response,sentences_letters_set.thisRepN,sentences_letters_set.thisTrialN,sentences_letters_set.thisN,sentences_letters_set.thisIndex,sentences_letters_set.ran,mouse_jp.x,mouse_jp.y,mouse_jp.leftButton,mouse_jp.midButton,mouse_jp.rightButton,mouse_jp.time,mouse_jp.clicked_name,letter_answers,letter_responses,curr_set_rspan_pcu,small_loop.thisRepN,small_loop.thisTrialN,small_loop.thisN,small_loop.thisIndex,small_loop.ran,rspan_score,total_correct_letters,sent_speed_error,sent_acc_error,sent_total_error,total_number_of_sentences,sent_percent_correct,rspan_pcu,exit_key.keys,exit_key.rt
space,12.8636,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,0.161111111,-0.152777778,1,0,0,1.8227,[],[],[],[],[],[],[],0,0,0,4,1,"After final exams are over, we'll be able to take a well-deserved rest.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,0.014814815,-0.098148148,1,0,0,1.9162,[],[],[],[],[],[],[],0,1,1,3,1,"During the week of final spaghetti, I felt like I was losing my mind.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,0.126851852,-0.124074074,1,0,0,2.4919,[],[],[],[],[],[],[],0,2,2,2,1,The prosecutor's dish was lost because it was not based on fact.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,0.00462963,-0.119444444,1,0,0,1.9515,[],[],[],[],[],[],[],0,3,3,5,1,"Since it was the last game, it was hard to cope with the loss.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,-0.001851852,-0.089814815,1,0,0,2.0084,[],[],[],[],[],[],[],0,4,4,0,1,Andy was stopped by the policeman because he crossed the yellow heaven.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,0.041666667,-0.067592593,1,0,0,1.9916,[],[],[],[],[],[],[],0,5,5,1,1,During winter you can get a room at the beach for a very low rate.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,"After final exams are over, we'll be able to take a well-deserved rest.",,2.0316,TRUE,TRUE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,Andy was stopped by the policeman because he crossed the yellow heaven.,,,FALSE,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-04-19_11h42.04.938,reading_span,2022.2.5,Win32,59.38947618,011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.30092592592592593,-0.010185185185185186,0.5018518518518519]","[0.021296296296296296,0.01574074074074074,-0.4]","[1,1,1]","[0,0,0]","[0,0,0]","[3.0273000000000536,3.7775000000000034,4.8929000000001395]","[""letter_P"",""letter_Q"",""next_practice""]","[""K"",""Q""]","[""P"",""Q""]",0.5,0,0,0,0,1,,,,,,,,,,
